SKU;MARCA;Tipo de producto;CATEGORIA;Modelo;Origen;Talle;Temporada;color;Tela;Precio;AREA DE DISEÑO - Alto;AREA DE DISEÑO - Largo;Imagen Destacada;Galeria; PRODUCTO TERMINADO
500;ALFA;BODY LISO BLANCO MANGA CORTA;BODY;;;1;;;;;20cm;20cm;500_01.jpg;500_02.jpg,500_03;
500;ALFA;BODY LISO BLANCO MANGA CORTA;BODY;;;2;;;;;20cm;20cm;500_01.jpg;500_02.jpg,500_03;
500;ALFA;BODY LISO BLANCO MANGA CORTA;BODY;;;3;;;;;21cm;25cm;500_01.jpg;500_02.jpg,500_03;
500;ALFA;BODY LISO BLANCO MANGA CORTA;BODY;;;4;;;;;21cm;25cm;500_01.jpg;500_02.jpg,500_03;
500;ALFA;BODY LISO BLANCO MANGA CORTA;BODY;;;5;;;;;21cm;25cm;500_01.jpg;500_02.jpg,500_03;
500;ALFA;BODY LISO BLANCO MANGA CORTA;BODY;;;6;;;;;21cm;25cm;500_01.jpg;500_02.jpg,500_03;
501;ALFA;BODY LISO CELESTE MANGA CORTA;BODY;;;1;;;;;20cm;20cm;501_01.jpg;501_02.jpg;
501;ALFA;BODY LISO CELESTE MANGA CORTA;BODY;;;2;;;;;20cm;20cm;501_01.jpg;501_02.jpg;
501;ALFA;BODY LISO CELESTE MANGA CORTA;BODY;;;3;;;;;21cm;25cm;501_01.jpg;501_02.jpg;
501;ALFA;BODY LISO CELESTE MANGA CORTA;BODY;;;4;;;;;21cm;25cm;501_01.jpg;501_02.jpg;
501;ALFA;BODY LISO CELESTE MANGA CORTA;BODY;;;5;;;;;21cm;25cm;501_01.jpg;501_02.jpg;
501;ALFA;BODY LISO CELESTE MANGA CORTA;BODY;;;6;;;;;21cm;25cm;501_01.jpg;501_02.jpg;
502;ALFA;BODY LISO AMARILLO MANGA CORTA;BODY;;;1;;;;;20cm;20cm;502_01.jpg;502_02.jpg;
502;ALFA;BODY LISO AMARILLO MANGA CORTA;BODY;;;2;;;;;20cm;20cm;502_01.jpg;502_02.jpg;
502;ALFA;BODY LISO AMARILLO MANGA CORTA;BODY;;;3;;;;;21cm;25cm;502_01.jpg;502_02.jpg;
502;ALFA;BODY LISO AMARILLO MANGA CORTA;BODY;;;4;;;;;21cm;25cm;502_01.jpg;502_02.jpg;
502;ALFA;BODY LISO AMARILLO MANGA CORTA;BODY;;;5;;;;;21cm;25cm;502_01.jpg;502_02.jpg;
502;ALFA;BODY LISO AMARILLO MANGA CORTA;BODY;;;6;;;;;21cm;25cm;502_01.jpg;502_02.jpg;
;;;;;;;;;;;;;;;
